Time (sec),R1 W1 Avg,R1 W2 Avg,R1 R1,R2 W1 Avg,R2 W2 Avg,R2 R1,R3 W1 Avg,R3 W2 Avg,R3 R1,R4 W1 Avg,R4 W2 Avg,R4 R1,R5 W1 Avg,R5 W2 Avg,R5 R1,R6 W1 Avg,R6 W2 Avg,R6 R1,R7 W1 Avg,R7 W2 Avg,R7 R1,R8 W1 Avg,R8 W2 Avg,R8 R1,R9 W1 Avg,R9 W2 Avg,R9 R1,R10 W1 Avg,R10 W2 Avg,R10 R1,R11 W1 Avg,R11 W2 Avg,R11 R1,R12 W1 Avg,R12 W2 Avg,R12 R1,R13 W1 Avg,R13 W2 Avg,R13 R1,R14 W1 Avg,R14 W2 Avg,R14 R1,R15 W1 Avg,R15 W2 Avg,R15 R1,R16 W1 Avg,R16 W2 Avg,R16 R1,R16 R1,R17 W1 Avg,R17 W2 Avg,R17 R1,R18 W1 Avg,R18 W2 Avg,R18 R1,R19 W1 Avg,R19 W2 Avg,R19 R1,R20 W1 Avg,R20 W2 Avg,R20 R1,R21 W1 Avg,R21 W2 Avg,R21 R1,R22 W1 Avg,R22 W2 Avg,R22 R1,R23 W1 Avg,R23 W2 Avg,R23 R1,R24 W1 Avg,R24 W2 Avg,R24 R1,R25 W1 Avg,R25 W2 Avg,R25 R1,R26 W1 Avg,R26 W2 Avg,R26 R1,R27 W1 Avg,R27 W2 Avg,R27 R1,R28 W1 Avg,R28 W2 Avg,R28 R1,R29 W1 Avg,R29 W2 Avg,R29 R1,R30 W1 Avg,R30 W2 Avg,R30 R1,R31 W1 Avg,R31 W2 Avg,R31 R1,R32 W1 Avg,R32 W2 Avg,R32 R1
57.24,0,0,0,69.000416,110.601024,0.652234,67.212119,152.647515,0.471304,53.439221,99.422467,0.56831,70.936333,118.245547,0.693461,22.554353,61.062376,0.431967,72.366385,133.234623,0.608238,82.964011,121.916504,0.788929,99.350631,148.745576,0.679494,86.832597,132.771126,0.716409,60.097426,105.389373,0.596704,81.954163,129.697728,0.717775,47.435306,80.51113,0.783146,103.245129,152.613139,0.700341,99.499669,169.215107,0.598274,72.962603,112.854801,0.778627,51.958669,71.004963,0.860109,59.904835,92.465886,0.780855,41.437717,60.584871,0.949129,48.0656,82.108206,0.754176,42.011273,78.558344,0.63672,30.593644,52.062642,0.815724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.24,0,0,0,69.344353,111.545385,0.644714,67.06565,152.767655,0.468047,53.609052,100.498933,0.565881,71.317484,118.997904,0.679308,23.468346,59.673818,0.462051,72.791568,132.629432,0.607305,83.342529,122.913782,0.769575,99.667868,149.788489,0.676054,87.130312,133.864866,0.713485,60.532067,105.586086,0.600275,82.227523,130.00028,0.709832,47.714793,81.172777,0.767249,103.936393,152.216019,0.706873,100.226886,167.925953,0.607886,73.492123,112.741195,0.774914,51.911601,73.58671,0.831132,60.141788,93.355671,0.767673,41.707958,61.077663,0.925066,48.418701,82.219297,0.773841,42.492687,77.830859,0.643765,30.930521,51.911013,0.810085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.24,0,0,0,68.327265,113.100919,0.627042,65.487184,153.213252,0.45569,52.347086,103.125185,0.538173,70.088633,121.472868,0.647182,23.429478,56.530784,0.499963,71.914952,134.331923,0.587099,82.178502,125.892318,0.729659,98.465768,152.618968,0.654687,85.800976,137.321404,0.676687,59.662716,106.664605,0.58864,81.090994,132.714974,0.681311,46.822219,82.458748,0.734726,103.193988,153.238434,0.696085,99.758001,167.93398,0.605389,72.633674,113.819074,0.752339,50.165282,79.089858,0.746675,59.18865,95.456621,0.730817,40.898989,62.090642,0.889383,47.515873,83.596153,0.733135,41.850781,77.974819,0.637775,30.132184,52.606397,0.783762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.24,0,0,0,67.67158,115.707878,0.610818,64.062598,153.623976,0.44128,51.709588,106.868318,0.517343,69.245778,125.86904,0.620189,23.757027,54.237935,0.535885,70.860122,138.55496,0.559657,81.284432,130.515075,0.704973,97.396465,157.338382,0.627138,84.537179,142.634093,0.643509,59.036877,109.467153,0.570668,79.917594,137.440539,0.650677,46.365478,84.421862,0.73063,102.580328,157.050912,0.675141,99.287806,171.040935,0.592309,71.974089,116.847645,0.73929,48.853654,85.843723,0.659289,58.422089,98.60089,0.698062,40.534857,63.839057,0.872839,46.876477,86.436737,0.687723,41.419841,79.604536,0.629132,29.727756,54.46543,0.781173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.24,0,0,0,66.731199,120.280905,0.580733,62.143766,154.458762,0.42234,50.724233,112.058555,0.481533,68.138225,132.399689,0.57634,23.865174,53.950435,0.541524,69.345981,145.677702,0.515038,80.178613,137.409055,0.65137,96.222575,163.972305,0.593289,83.071576,149.986767,0.596359,58.145715,114.417313,0.534574,78.2933,144.360323,0.605255,45.802291,87.67032,0.697623,101.436644,163.617255,0.639876,98.119295,176.612744,0.568055,70.904264,121.944174,0.690026,47.532797,94.063637,0.581208,57.578751,103.211357,0.650614,40.016197,67.308552,0.81036,46.037292,91.099367,0.634584,40.713094,83.096666,0.587435,29.181673,58.141243,0.705508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.24,0,0,0,63.937475,122.948617,0.542663,58.888317,152.714473,0.40725,48.555222,114.408413,0.450943,65.110631,136.721112,0.530681,23.228607,53.072823,0.537889,66.048198,150.360348,0.47376,76.745974,141.926437,0.602184,92.189301,167.553426,0.556234,79.250237,154.406809,0.552602,55.670638,116.757018,0.502663,74.75765,148.115148,0.562297,44.000677,88.798483,0.660352,97.399705,167.540184,0.599674,94.400333,178.915382,0.539063,67.979998,124.787115,0.648161,45.071217,99.947402,0.515888,55.135572,105.693064,0.600278,38.426997,69.436734,0.747773,43.950049,94.275748,0.583037,39.026963,85.133529,0.549968,27.898399,60.723988,0.641457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.24,0,0,0,62.216063,128.291976,0.508149,56.483173,154.593374,0.383129,47.102549,119.125053,0.419505,63.057857,144.056505,0.489516,22.724316,53.664863,0.51968,63.917542,158.575993,0.430328,74.5017,150.000942,0.552355,89.835353,175.23025,0.517416,76.866404,162.396663,0.509484,54.115147,121.757121,0.468278,72.432122,155.292619,0.517209,42.872894,91.731639,0.619943,94.851177,176.208543,0.553273,92.234277,186.220679,0.506724,66.156134,130.502073,0.600304,43.399232,107.00471,0.472131,53.589525,110.520206,0.559433,37.331726,73.146002,0.684011,42.451894,99.368262,0.544241,37.761638,88.782067,0.50448,26.9218,64.184954,0.577818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.24,0,0,0,62.22808,137.712933,0.470146,56.273845,160.844638,0.36631,47.163527,126.881468,0.395387,63.010043,155.587807,0.450568,22.649129,56.499565,0.486543,63.701338,171.46378,0.395934,74.680037,162.745607,0.511976,90.48562,188.404631,0.483917,76.913133,174.782547,0.471685,54.220579,130.486509,0.436405,72.57912,166.960178,0.481227,43.032935,97.777048,0.581712,95.235533,190.571321,0.511883,92.725551,198.800323,0.475979,66.386654,140.570145,0.554534,43.148548,116.857134,0.42556,53.700086,119.071022,0.509309,37.373718,79.560394,0.615431,42.092157,107.569533,0.48823,37.653637,95.671851,0.462048,26.707197,69.848096,0.522427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.24,0,0,0,61.909489,144.545412,0.450799,55.585615,163.414298,0.360027,47.330441,131.887495,0.380347,62.774453,163.466186,0.433066,23.354042,58.114179,0.474081,63.2423,180.25057,0.376355,74.280602,171.686894,0.48323,90.092507,197.085981,0.460959,76.357788,183.339365,0.451021,54.188343,135.889445,0.419267,72.074543,174.422458,0.463899,43.222471,101.194491,0.578992,94.507175,201.146313,0.483269,92.342111,207.332367,0.45619,66.125942,147.098949,0.53909,43.030749,123.461292,0.404068,53.442537,124.796704,0.489812,37.403175,84.070598,0.599922,41.787354,113.355767,0.459964,37.693197,99.78964,0.44311,26.898805,73.455907,0.507276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.24,0,0,0,59.608655,150.122943,0.418144,53.26565,165.20837,0.338692,45.572097,135.589236,0.356777,60.549292,169.821302,0.402646,21.97102,59.267786,0.445302,60.823522,187.169954,0.346149,71.809501,179.382209,0.450643,87.406679,204.714505,0.429825,73.83926,190.613583,0.418616,52.300077,140.491936,0.390172,69.626044,180.694011,0.425645,41.769635,103.827873,0.540144,91.760084,210.721074,0.446692,89.973515,215.140144,0.427635,64.133076,152.762264,0.500032,41.380292,128.397414,0.37318,51.701834,129.529391,0.450452,35.980962,87.768602,0.536627,40.154068,118.146395,0.425297,36.10398,102.888707,0.408678,25.715642,75.995405,0.461669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
