Time (sec),R1 W1 Avg,R1 W2 Avg,R1 R1,R2 W1 Avg,R2 W2 Avg,R2 R1,R3 W1 Avg,R3 W2 Avg,R3 R1,R4 W1 Avg,R4 W2 Avg,R4 R1,R5 W1 Avg,R5 W2 Avg,R5 R1,R6 W1 Avg,R6 W2 Avg,R6 R1,R7 W1 Avg,R7 W2 Avg,R7 R1,R8 W1 Avg,R8 W2 Avg,R8 R1,R9 W1 Avg,R9 W2 Avg,R9 R1,R10 W1 Avg,R10 W2 Avg,R10 R1,R11 W1 Avg,R11 W2 Avg,R11 R1,R12 W1 Avg,R12 W2 Avg,R12 R1,R13 W1 Avg,R13 W2 Avg,R13 R1,R14 W1 Avg,R14 W2 Avg,R14 R1,R15 W1 Avg,R15 W2 Avg,R15 R1,R16 W1 Avg,R16 W2 Avg,R16 R1,R16 R1,R17 W1 Avg,R17 W2 Avg,R17 R1,R18 W1 Avg,R18 W2 Avg,R18 R1,R19 W1 Avg,R19 W2 Avg,R19 R1,R20 W1 Avg,R20 W2 Avg,R20 R1,R21 W1 Avg,R21 W2 Avg,R21 R1,R22 W1 Avg,R22 W2 Avg,R22 R1,R23 W1 Avg,R23 W2 Avg,R23 R1,R24 W1 Avg,R24 W2 Avg,R24 R1,R25 W1 Avg,R25 W2 Avg,R25 R1,R26 W1 Avg,R26 W2 Avg,R26 R1,R27 W1 Avg,R27 W2 Avg,R27 R1,R28 W1 Avg,R28 W2 Avg,R28 R1,R29 W1 Avg,R29 W2 Avg,R29 R1,R30 W1 Avg,R30 W2 Avg,R30 R1,R31 W1 Avg,R31 W2 Avg,R31 R1,R32 W1 Avg,R32 W2 Avg,R32 R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318.22,0,0,0,80.246107,212.28644,0.397501,105.780858,319.834214,0.336847,88.536729,260.224235,0.358065,88.2698,263.053852,0.340175,88.114852,296.00135,0.313599,101.264819,295.833435,0.351051,112.989622,385.754356,0.295563,139.964562,467.808393,0.301486,106.877693,333.049561,0.322661,103.852425,328.209613,0.319508,70.165183,249.573431,0.285745,75.117919,256.042803,0.304495,71.086551,244.252552,0.294266,114.441467,374.369986,0.312755,117.934696,353.546287,0.348324,139.210495,428.632577,0.331434,128.766101,398.130361,0.334144,148.668696,446.98663,0.340384,59.333046,189.012911,0.395866,90.460261,308.496521,0.298419,64.252548,213.771323,0.330045,103.922914,344.538212,0.308185,198.014525,418.243937,0.51773,110.502387,286.29713,0.395003,65.700792,169.980285,0.397459,87.736881,229.468291,0.393935,87.573591,222.984981,0.39853,80.947316,213.231357,0.390855,79.050211,209.843632,0.395222,41.813556,92.103401,0.527908,79.646602,206.697323,0.401973,93.884305,270.630204,0.358066,135.355067,395.975664,0.346663,81.417257,236.027825,0.35915,68.417675,206.919993,0.3512,94.152734,315.185442,0.303258,59.09402,220.434877,0.282231,66.895773,211.056809,0.331928,86.622871,290.369138,0.300456,60.143191,220.56278,0.275918,76.440803,249.81275,0.310893,91.595941,322.251274,0.289454,82.751159,277.346335,0.303258,75.747831,231.625771,0.332273,64.740399,215.456571,0.305883,84.558636,244.659181,0.349088,109.616102,301.505685,0.371111,97.25326,290.086192,0.33835,56.138225,163.750434,0.386546,68.371745,234.46152,0.29489,72.473185,217.077679,0.341646,91.716305,272.921623,0.381469,77.996413,229.235617,0.363859,63.718171,193.741447,0.334621,69.370308,146.771926,0.478527,66.319725,182.573858,0.378524,69.00158,158.728838,0.44224,70.181431,187.903791,0.380191,48.670518,149.125495,0.332983
328.22,0,0,0,81.015047,210.217415,0.404787,108.219316,314.489718,0.350959,89.306434,259.838442,0.360503,89.10637,261.802784,0.345081,88.478308,296.37088,0.315369,102.175335,294.266268,0.356328,113.104712,386.300388,0.295615,140.422684,467.566125,0.302904,108.281711,332.35334,0.327682,105.377184,326.42085,0.32636,70.852277,248.89834,0.28931,75.689142,256.612709,0.306238,71.764758,244.33067,0.297096,114.869534,375.194126,0.31375,118.8264,352.836729,0.351043,139.850548,428.726558,0.333404,129.259422,398.859819,0.334317,148.763794,441.976649,0.34479,59.539301,189.03159,0.395171,90.944497,306.976683,0.301137,64.688703,213.564608,0.33458,104.552812,344.565831,0.309541,201.054288,405.452641,0.538042,111.558843,284.439213,0.401525,65.787803,169.955671,0.397614,88.214277,229.068702,0.396742,88.323234,219.853771,0.407682,82.229539,213.603724,0.397708,79.609182,209.155113,0.399889,42.122326,91.624803,0.529802,81.093639,205.069746,0.412672,94.637543,270.155749,0.362353,136.102633,394.506653,0.350406,82.326733,236.424322,0.362155,68.908826,207.072164,0.353257,94.800051,314.902728,0.30596,59.542771,220.7175,0.283852,67.587248,210.876614,0.335448,87.743263,289.235709,0.305821,60.485721,221.106396,0.276796,77.305726,249.348536,0.315123,92.443277,321.416899,0.293633,83.296553,276.3978,0.306191,76.140647,232.051667,0.333629,65.20119,215.466408,0.308028,85.766961,241.815824,0.357803,110.378982,298.923487,0.376577,98.094464,290.68367,0.340806,56.595826,163.966776,0.390617,69.388085,232.865493,0.301803,73.374036,216.719812,0.346678,92.387261,272.916255,0.387234,78.605162,229.145678,0.366949,64.110425,193.315312,0.337753,69.865832,145.375997,0.485448,66.809474,182.018309,0.382561,69.677672,157.969323,0.449742,70.954562,185.891992,0.389794,49.350483,148.897173,0.33819
338.22,0,0,0,80.90346,206.180862,0.415815,108.650308,306.416889,0.361529,90.376192,256.624988,0.370586,89.644293,258.730182,0.3515,88.707713,294.8598,0.318772,102.641563,290.732103,0.36301,113.029795,383.738651,0.297573,140.189263,464.206427,0.304746,108.886506,329.413096,0.333036,105.861397,321.496432,0.333292,70.67779,245.946356,0.292362,75.998922,254.862033,0.309829,72.179507,242.445311,0.301039,114.869562,373.258744,0.315401,119.204654,348.978993,0.358806,140.232077,425.875339,0.336865,129.219964,395.638267,0.338473,147.70435,431.506434,0.351752,59.943649,187.190892,0.413369,91.071926,302.728313,0.306454,64.838697,211.034391,0.345483,105.209667,339.953334,0.316527,201.300597,391.552556,0.560523,111.56503,280.768048,0.406546,65.155405,168.06126,0.399419,88.133293,226.565703,0.402358,88.19343,213.624225,0.419508,83.048644,212.348275,0.405654,79.703912,206.679714,0.406524,42.035396,89.636718,0.549501,81.648754,202.052611,0.422456,94.998067,267.752806,0.366925,136.012851,389.801597,0.354372,82.962906,234.079168,0.370092,69.201885,204.845499,0.362753,95.132288,311.596278,0.310358,59.905432,219.041868,0.288673,68.298208,208.127026,0.344741,87.906352,286.320899,0.309745,60.603351,220.05832,0.278779,78.082558,246.665755,0.32237,92.81651,317.726965,0.298808,83.850352,272.306385,0.312885,76.197222,230.778747,0.336358,65.815902,213.136373,0.314392,87.234871,233.661412,0.376247,110.726006,293.402745,0.38633,98.365895,289.171736,0.343839,56.871971,162.420462,0.39945,73.439317,217.458772,0.347245,73.796723,214.451895,0.353342,92.647581,270.270861,0.39327,78.86535,226.946589,0.375061,64.18932,190.697161,0.343353,69.789831,142.358698,0.495926,66.726906,179.599336,0.38738,69.58643,154.997888,0.460758,70.803007,181.266597,0.399949,49.561833,146.701591,0.344842
348.22,0,0,0,81.659857,204.573356,0.419468,110.963367,299.225298,0.378114,91.412268,254.970623,0.375946,90.204157,257.142301,0.355959,89.125502,294.377067,0.321538,103.498532,288.194055,0.369646,113.184783,383.383106,0.298082,140.529502,462.800933,0.306498,109.864636,328.855494,0.336123,107.407477,319.485708,0.340423,71.199472,245.892999,0.294567,76.542815,254.539151,0.312451,72.470864,242.036396,0.303006,115.386393,371.742952,0.31868,119.892617,347.923258,0.359208,140.779455,424.867546,0.338684,129.570072,394.934224,0.339149,148.008411,423.849476,0.358977,60.312404,186.808205,0.406504,91.378244,301.815689,0.308122,65.046438,210.467795,0.346009,106.272558,336.532012,0.323063,202.136746,381.488167,0.576415,112.576699,280.432937,0.410849,65.238222,168.442032,0.398649,88.379729,226.43236,0.403248,88.721846,210.816439,0.427306,83.881613,212.248453,0.410206,79.665531,205.769448,0.40797,41.956687,89.329622,0.548761,82.270981,201.095871,0.424894,95.323698,266.955629,0.368968,136.711394,388.256986,0.357684,83.452753,233.864744,0.370976,69.566241,203.609891,0.36627,95.769543,310.250155,0.313664,59.979196,219.296483,0.288089,68.870399,207.393232,0.349061,88.464973,285.553751,0.31218,60.813311,219.94397,0.279954,78.433789,245.845546,0.32481,93.574565,314.977445,0.304392,84.560133,270.180328,0.317235,75.959011,231.211389,0.334554,66.112997,212.914569,0.316351,88.714762,227.936431,0.39102,111.601864,290.858684,0.391813,98.732189,289.648456,0.344536,57.048844,162.560234,0.395325,75.538788,212.93577,0.370501,74.249601,213.621718,0.357359,93.028993,269.76631,0.391167,79.072066,226.834264,0.372381,64.411014,189.918806,0.345676,70.279013,141.167506,0.504775,66.968656,179.451709,0.389223,70.01072,154.325504,0.463883,71.03812,178.383833,0.408594,49.980203,146.168145,0.349168
358.22,0,0,0,81.362701,201.850033,0.423905,111.816705,292.060298,0.389967,91.491723,253.105068,0.378165,90.338652,254.371356,0.360616,88.750872,293.553602,0.320774,103.634834,285.027579,0.374061,112.3807,382.577546,0.296671,140.08436,460.438009,0.307104,109.387444,328.061762,0.335374,107.281393,316.391626,0.343502,70.284131,244.366435,0.292926,76.060912,253.237539,0.312342,72.072094,241.098979,0.302049,115.101124,368.015806,0.32129,119.611721,345.994542,0.360359,140.375463,423.420531,0.338724,129.389675,392.378051,0.340744,145.529408,414.817526,0.360583,59.770631,185.531511,0.40235,90.469349,298.670208,0.308058,64.518262,209.231205,0.342835,106.252592,333.604523,0.325457,200.85723,370.610469,0.592419,111.992427,278.451677,0.410719,64.204829,167.842283,0.394789,87.804172,224.959975,0.402915,87.981787,207.308835,0.431269,83.713168,211.440898,0.411086,79.269627,204.638107,0.406747,41.042947,88.371183,0.540228,82.221266,198.979205,0.429365,94.900503,265.385975,0.369238,136.216332,385.247216,0.359089,83.210235,232.211043,0.371987,69.39705,200.488224,0.369118,96.153802,304.49593,0.321757,59.37007,218.620083,0.286271,68.650563,205.884545,0.350451,87.939017,283.820579,0.312081,60.220109,219.834104,0.277264,78.177967,244.221648,0.325815,93.454891,311.220136,0.308026,83.996905,268.170914,0.317307,75.118222,231.100263,0.330958,65.969185,212.159932,0.316891,88.847749,223.775019,0.398424,111.597221,285.465465,0.39871,98.219607,289.010249,0.343479,56.345535,162.030761,0.392554,75.426278,210.429968,0.375309,73.924948,212.290372,0.357409,92.655651,268.8724,0.389778,78.53928,225.783554,0.371903,63.91209,188.186987,0.345996,69.552781,139.053551,0.50481,66.602477,178.55786,0.389424,69.375542,153.052907,0.463359,70.114229,173.884674,0.414459,49.362801,144.798305,0.348227
368.22,0,0,0,82.050123,198.764133,0.43592,115.466358,279.014583,0.423079,92.274154,250.253166,0.38753,91.15283,250.407233,0.369783,89.191158,292.324984,0.324128,104.443929,281.58041,0.382492,112.0233,380.712499,0.297351,140.459181,458.142962,0.30973,110.122702,326.82777,0.339489,108.130613,312.868148,0.350867,71.046235,242.399518,0.29826,76.241754,251.615703,0.315501,72.214698,239.501997,0.304696,115.725013,364.601821,0.326564,119.879461,344.281418,0.365174,140.540325,421.840392,0.340991,129.931516,390.180036,0.344317,145.746909,407.392693,0.369232,60.168289,184.01344,0.424224,91.045161,297.007114,0.311826,64.72528,207.654536,0.349893,106.862203,330.592894,0.330704,199.869357,360.366478,0.610028,112.482321,276.961754,0.415784,64.406248,167.279494,0.39789,88.085894,223.218728,0.408584,88.177577,203.933727,0.440072,84.261087,209.74938,0.419681,79.70622,203.008133,0.414772,41.153102,86.608459,0.564591,82.873942,197.131247,0.437983,95.255659,263.599272,0.373584,136.31963,382.608831,0.362271,83.83882,230.866174,0.378564,70.748964,195.348859,0.387292,97.248916,300.084261,0.332929,59.582804,217.581284,0.289254,69.059126,204.332698,0.356891,88.237459,282.108055,0.315135,60.380812,218.654874,0.279739,78.741218,242.761305,0.330641,94.722733,306.467515,0.317379,84.70157,265.67105,0.323047,75.105916,230.302301,0.332519,66.312365,210.352075,0.321547,89.469602,219.671467,0.408825,112.757315,280.642903,0.41019,98.615833,287.939953,0.346593,56.595215,161.055183,0.399284,75.946779,208.077084,0.383162,74.529993,210.42433,0.364484,93.273474,267.645412,0.399798,79.076251,223.889942,0.380341,64.170113,185.981935,0.352088,69.927892,136.059729,0.521154,66.870978,176.788292,0.397054,69.604888,151.124079,0.475807,69.845381,169.171372,0.42669,49.6444,143.058742,0.354518
378.22,0,0,0,81.833684,197.336238,0.434368,116.141641,273.983408,0.432823,92.618832,248.640745,0.388958,90.888042,248.68731,0.371164,88.447636,292.742173,0.320665,104.206618,279.540518,0.383867,111.783085,379.519605,0.297444,140.16925,456.158765,0.310505,109.362745,326.774789,0.336749,108.393036,310.268575,0.354612,70.256217,241.703291,0.295341,75.854535,251.425232,0.31389,71.617779,239.321159,0.30231,115.365446,362.535454,0.326175,119.438687,343.587104,0.362168,140.24844,422.134253,0.339712,129.409603,388.296173,0.34424,145.337832,400.961396,0.373679,59.784032,183.608052,0.410507,90.618497,295.27736,0.31164,64.414589,207.139052,0.347531,107.171081,327.300883,0.334233,197.862987,351.008928,0.615906,112.022276,276.283075,0.414729,63.361762,168.069922,0.389172,87.541834,223.042811,0.405776,87.382855,201.695552,0.440611,83.696715,208.645831,0.419036,79.108241,202.655113,0.410273,40.236416,86.407025,0.548189,82.360497,196.763389,0.433519,94.848474,263.078175,0.372283,135.971287,379.954584,0.363714,83.779739,230.241643,0.377916,71.220695,191.644083,0.394392,97.521653,297.007264,0.3379,58.869905,217.850608,0.284457,68.706857,203.503674,0.355472,87.590411,280.960453,0.313939,60.396531,217.100472,0.281847,78.318476,241.681362,0.329996,94.702005,303.213956,0.320572,84.464757,263.887078,0.324046,74.332659,230.990485,0.327828,66.012781,210.090136,0.320373,89.133058,217.007658,0.412115,112.533613,277.327529,0.412844,98.340481,287.582828,0.345716,56.025205,161.85849,0.391457,75.545143,206.961028,0.382882,74.032698,209.846922,0.361384,92.894461,267.585434,0.389196,78.186061,223.295768,0.374848,63.736865,184.949113,0.351085,69.260503,134.431412,0.521231,66.244386,176.100255,0.394563,69.03956,150.94108,0.469339,68.351253,165.285847,0.427917,49.165713,142.652157,0.352343
388.22,0,0,0,83.361599,195.260428,0.449081,117.695193,268.594769,0.448602,94.487161,246.179356,0.402948,92.451602,245.860043,0.382007,89.963853,292.144025,0.328322,105.843797,276.589752,0.394689,112.771882,378.177704,0.301123,141.652804,453.830296,0.315247,110.760055,326.401519,0.342081,110.111087,307.780944,0.364258,71.635231,240.979266,0.302847,77.342739,250.254305,0.322645,72.711432,238.053706,0.30818,117.070743,360.642758,0.334337,120.7589,343.063825,0.368603,141.691893,421.797828,0.344064,130.766318,387.959856,0.348986,146.873517,394.943318,0.383827,60.962289,182.932053,0.427683,91.808261,294.224426,0.317136,65.439697,205.921145,0.360451,109.264649,321.712563,0.34745,197.287884,341.931907,0.63333,113.036125,275.005923,0.42116,64.04088,168.700674,0.392479,88.585478,222.297572,0.41375,88.551588,197.963765,0.455508,84.821235,207.164919,0.429647,80.445734,201.52543,0.421479,40.814528,85.341935,0.562658,83.803029,195.222694,0.445304,95.965126,262.389204,0.378974,137.472022,378.364731,0.369652,85.26893,228.837845,0.388167,73.285918,187.386316,0.415335,99.220672,293.545538,0.34958,59.756259,217.49255,0.290696,70.102664,201.618888,0.367788,88.802934,279.908977,0.319931,62.224734,213.248289,0.296176,79.491943,240.220716,0.337467,96.520799,299.377056,0.331191,85.988276,261.504563,0.332621,74.972899,231.232466,0.330692,67.142475,209.28231,0.327192,90.298252,214.190824,0.423354,114.294411,274.389532,0.424247,99.576566,287.094248,0.350736,56.842928,161.972408,0.400035,76.838862,205.302554,0.394346,75.209334,208.835982,0.370288,93.889092,267.724873,0.393062,78.645689,221.246831,0.383156,64.910684,183.376175,0.361642,70.446706,132.730662,0.537438,66.722729,174.392309,0.402748,70.11834,150.364048,0.481128,68.372714,160.602534,0.443889,50.248813,141.351803,0.364097
398.22,0,0,0,83.793976,191.42429,0.461055,118.013754,261.672314,0.460791,95.291474,241.575962,0.412645,93.020048,241.34855,0.391769,90.05962,289.436874,0.332844,106.565681,271.713562,0.404935,112.542459,374.410083,0.303622,141.701601,449.642319,0.318184,110.481665,324.071497,0.343882,110.448067,303.281179,0.370463,71.499397,238.178221,0.305096,77.20161,247.947687,0.325201,72.825883,236.257181,0.311128,117.300145,356.06593,0.338461,120.459019,340.607785,0.368596,141.750256,418.053708,0.346942,130.819964,384.047256,0.353029,147.35252,385.126295,0.394926,61.00934,180.792646,0.431939,91.645606,291.169675,0.319831,65.613338,202.976313,0.366984,110.601317,314.008444,0.360547,195.213715,330.957625,0.648755,112.710973,271.588514,0.425678,63.71839,167.737713,0.393832,88.380901,219.790038,0.416714,88.708043,190.905717,0.474652,84.696641,203.286244,0.439337,80.591526,198.687063,0.428197,40.438773,83.492871,0.570979,83.985842,192.909257,0.452072,96.137637,259.864484,0.382965,137.260627,374.1803,0.373342,85.317783,226.383477,0.392294,74.27097,181.837142,0.432722,99.799667,288.620228,0.358524,59.710324,215.776487,0.293832,70.338999,198.782774,0.374432,88.470719,277.664402,0.320948,62.486264,210.115365,0.302287,79.705159,237.551353,0.342414,96.889271,293.885472,0.338534,86.417285,257.280484,0.33943,74.479122,229.444483,0.331355,67.091928,207.451653,0.329555,89.821133,210.435186,0.428898,114.650551,268.892519,0.433383,99.544441,284.593874,0.353798,56.636994,160.726032,0.40338,76.83755,202.389048,0.400601,74.988977,206.209298,0.373027,93.985032,265.825132,0.402251,78.359135,218.269032,0.386073,64.564369,180.579953,0.365072,70.214039,129.227747,0.551408,65.461782,168.997156,0.409604,70.103816,148.46032,0.490016,67.104359,154.394271,0.454128,50.096969,138.940425,0.369729
408.22,0,0,0,83.467353,187.859346,0.469116,117.373226,255.816007,0.469332,95.499474,237.515039,0.421505,92.666775,237.770296,0.396281,89.538265,287.191571,0.334789,106.38002,267.447061,0.411217,111.643046,371.849342,0.303299,141.004814,446.43012,0.318759,109.854672,322.595192,0.344102,110.165307,299.924674,0.374336,70.974614,235.172477,0.306987,77.115572,245.702915,0.328816,72.70617,233.918965,0.31338,117.14969,352.043042,0.342429,119.745113,338.186648,0.372587,141.158374,416.160102,0.347741,130.375307,381.216318,0.354683,148.023037,372.307702,0.409536,60.774595,178.524958,0.446016,90.990849,288.538517,0.320548,65.520685,200.027057,0.37505,110.928536,309.237393,0.367376,191.621182,320.71622,0.656525,111.863604,268.445725,0.428315,62.683585,166.629576,0.39137,88.078351,216.886533,0.423036,88.399089,182.859278,0.495749,84.429752,199.220192,0.450543,80.446921,195.526595,0.435949,39.746061,81.177125,0.588912,83.980331,190.313537,0.458687,95.7291,257.334791,0.385645,137.065936,370.065761,0.377435,85.292078,224.139445,0.397767,75.522217,175.348683,0.458014,99.99953,283.496443,0.367498,59.287978,213.895872,0.294265,70.10845,196.112176,0.3788,88.016653,274.758895,0.322926,62.757399,206.972669,0.30845,79.62858,234.798399,0.346499,96.554607,289.099428,0.342876,86.11374,253.730101,0.342668,74.012562,228.1607,0.331231,66.754364,205.303683,0.331802,88.83544,206.828792,0.431598,113.938953,264.664413,0.438128,99.065445,283.054682,0.354175,56.133986,159.850795,0.400568,76.515827,199.871602,0.405088,74.596721,204.07462,0.375553,93.489743,263.931205,0.403093,78.073117,215.872462,0.391395,63.929791,178.748114,0.365187,69.393761,125.44962,0.563081,62.477366,160.840878,0.413005,69.564119,145.664904,0.496824,65.293089,148.391151,0.462965,49.098173,136.319873,0.369852
418.22,0,0,0,84.541335,185.130264,0.482155,117.55949,251.63507,0.478406,96.873178,233.221269,0.435759,93.443831,233.88476,0.406553,89.985226,286.441074,0.338252,107.553744,263.062549,0.423132,112.386336,367.12186,0.309273,141.445797,442.689553,0.322884,110.28921,320.960371,0.346761,110.972399,295.881606,0.382389,71.872782,233.593418,0.313496,77.617428,244.288869,0.332846,73.14514,232.471372,0.317522,117.700211,348.671443,0.347193,120.081222,336.603784,0.374774,141.517756,413.935219,0.350366,130.999422,377.956679,0.360177,149.751867,360.971439,0.428872,61.493545,177.187517,0.450345,91.28883,286.652156,0.323838,66.118881,198.171047,0.38461,111.88854,306.219457,0.374122,189.019535,310.984436,0.666554,111.51877,266.284254,0.43147,63.034373,166.312182,0.395027,88.608549,214.923381,0.431516,88.955111,175.321493,0.522425,85.10186,195.524634,0.468379,81.001703,193.270635,0.444717,40.235396,79.936997,0.599483,84.726927,188.148845,0.468023,96.07245,255.35189,0.390497,137.176763,366.163772,0.382046,85.646451,223.30451,0.400104,77.33761,170.032026,0.482214,101.071357,278.988036,0.378073,59.829969,213.238537,0.29812,70.789538,194.712059,0.384562,88.364442,273.115346,0.326214,63.368161,205.292188,0.314508,80.290423,232.942597,0.35213,97.359094,285.372175,0.35018,86.988629,249.759931,0.351536,73.881964,227.306023,0.331925,67.415677,204.023589,0.33727,88.622064,203.711802,0.437613,114.536208,260.970228,0.446883,99.547564,281.561002,0.357717,56.480629,159.577801,0.408505,77.474374,198.407766,0.413951,75.155717,202.797323,0.380831,94.008977,262.885501,0.403357,78.4466,214.355033,0.397045,64.269868,177.583229,0.369845,69.638691,122.761552,0.578908,61.44688,156.100344,0.419589,69.92828,143.480083,0.507607,64.618852,143.865614,0.472605,49.23638,134.768274,0.375226
428.22,0,0,0,85.841095,182.833358,0.493076,120.118281,252.152294,0.486456,98.371216,229.110937,0.450017,94.199163,230.247174,0.416625,90.558364,285.766058,0.342147,108.942122,258.860584,0.435713,113.515791,363.612701,0.315579,142.81656,439.569326,0.328492,110.875358,319.730259,0.350443,112.268361,292.716984,0.392316,73.052381,231.96485,0.321233,78.339721,243.074828,0.339037,73.791833,231.658424,0.321374,118.709645,347.522464,0.351835,120.846994,336.108905,0.378682,142.883274,413.006136,0.35472,131.998303,376.211913,0.365046,152.393321,353.311405,0.447588,62.381666,176.019385,0.461624,92.191582,285.744108,0.328512,66.79181,197.154496,0.39225,113.244426,303.630497,0.382175,187.819119,303.302569,0.682163,112.161029,264.831398,0.437163,63.14396,166.343498,0.396976,89.259331,213.65085,0.438198,88.675336,169.117288,0.541992,85.300788,192.681988,0.480458,81.710925,191.215944,0.455158,40.412298,78.155428,0.621806,85.757175,186.213382,0.478692,97.07063,254.003529,0.397365,138.386967,364.023986,0.388041,86.529381,222.187793,0.406207,79.180756,166.019478,0.50503,102.668682,275.418613,0.390431,60.326517,211.876753,0.303226,71.470986,192.947191,0.391867,88.926563,272.131562,0.329655,64.04836,203.609677,0.321164,81.442992,230.890463,0.360656,99.038929,278.646124,0.364857,88.156239,246.366719,0.360892,74.315165,226.499895,0.335515,68.118765,202.94587,0.342682,88.770344,201.009914,0.444581,115.478576,257.939773,0.455813,100.329386,281.020962,0.36144,57.033683,159.358023,0.410175,77.849727,196.129321,0.421583,75.678514,201.424642,0.386578,94.680823,261.435951,0.411091,78.90699,212.913257,0.404975,64.767536,176.565991,0.374898,69.499674,120.024409,0.590507,60.654589,152.585442,0.427173,69.919059,140.946561,0.519424,63.834811,139.123967,0.484387,49.114751,132.64014,0.380451
438.22,0,0,0,87.07248,179.921787,0.509193,121.747719,244.844998,0.508717,99.512296,224.373991,0.465709,94.966449,225.953468,0.428364,91.389141,283.82369,0.348912,110.333614,254.180632,0.450424,114.567992,361.122341,0.320722,144.569401,435.317227,0.335731,111.698392,317.746144,0.355783,113.038069,288.717411,0.400599,73.441617,230.201482,0.325022,79.108027,241.95037,0.343701,74.274491,230.421343,0.325122,119.564084,345.84465,0.356452,121.512819,335.468805,0.381705,143.941496,411.2398,0.359088,133.33148,374.775993,0.369598,153.601343,346.604294,0.460403,62.870502,174.314739,0.477573,92.898865,284.63448,0.332695,67.201488,195.366794,0.403287,114.45777,301.243998,0.389959,186.157214,294.646501,0.698868,112.348606,263.107225,0.440946,63.368151,165.698205,0.402081,89.959567,211.742198,0.446483,88.32967,163.369076,0.561877,85.745653,189.610298,0.495411,82.591011,188.932156,0.468577,40.605798,75.888299,0.649401,86.559379,184.520906,0.487475,98.069297,252.502252,0.404606,139.527348,360.794208,0.395694,87.296452,221.008361,0.413615,80.701475,162.137469,0.528702,104.17523,271.426838,0.402319,60.941848,210.854032,0.308234,72.243425,190.813865,0.402219,89.341344,270.115142,0.333738,64.501487,202.082747,0.32687,82.432654,228.649701,0.368647,101.393984,272.632683,0.381394,89.522846,241.897567,0.372614,74.393212,225.999814,0.336864,68.455296,201.210541,0.34721,88.594602,198.123144,0.450834,116.491823,254.069719,0.467979,100.911084,279.842333,0.36538,57.166543,158.666877,0.417314,78.692976,193.408237,0.433573,76.214036,199.773945,0.391654,95.723522,260.281171,0.425384,79.415555,211.514976,0.412538,65.001191,174.812318,0.380593,69.288455,116.53441,0.61086,60.153641,149.388221,0.43491,69.996921,137.958651,0.53104,63.226643,134.013671,0.500652,48.867582,129.819097,0.387495
448.22,0,0,0,87.795028,177.003155,0.520873,121.439768,235.973191,0.525756,100.727792,220.428152,0.479449,95.611986,222.88074,0.4375,91.710113,283.124864,0.350581,111.076151,250.586996,0.459297,115.465102,358.273515,0.325435,147.255451,427.18271,0.348076,112.149308,316.840859,0.358029,113.662038,285.768383,0.407125,73.77675,227.859227,0.329832,79.515964,241.458837,0.346043,74.790819,229.816689,0.328099,119.519921,344.383412,0.357601,121.830162,334.991128,0.383381,144.462038,410.166872,0.361077,133.7887,374.546173,0.371318,153.66198,337.411085,0.471981,63.083389,173.613154,0.482376,92.777485,283.327692,0.333854,67.255247,194.228769,0.404647,114.928472,299.182261,0.394362,183.285166,285.811977,0.718759,112.462667,262.05127,0.443149,63.138159,165.333974,0.400814,90.352123,209.903454,0.452258,87.191475,158.402188,0.573501,85.634042,187.324513,0.506538,82.897786,187.269874,0.473561,40.6137,74.676177,0.660079,87.024134,182.826378,0.495034,98.458463,251.436259,0.408029,139.888403,356.973072,0.401207,87.78201,220.498663,0.415883,81.744481,159.679258,0.543937,104.920418,267.376824,0.411113,61.239427,210.471116,0.30979,72.432925,189.45914,0.405337,89.39769,269.526948,0.334891,64.76507,201.697333,0.329029,83.04658,227.156643,0.373939,102.50945,268.678609,0.390859,90.460555,237.485013,0.382988,74.34443,225.868658,0.336704,68.865114,200.619752,0.350177,87.936408,194.939884,0.455052,116.382738,249.84192,0.473533,101.243443,278.971812,0.36756,57.214852,158.675221,0.418364,79.15751,191.300361,0.442931,76.697465,198.681248,0.39706,96.051161,258.85066,0.421139,79.85259,211.013935,0.415336,64.996973,173.703133,0.382951,68.441064,113.801837,0.616076,59.213604,146.635865,0.436956,69.060726,134.849338,0.535881,62.018644,129.786764,0.504845,48.391813,127.789576,0.390167
