Time (sec),R1 W1 Avg,R1 W2 Avg,R1 R1,R2 W1 Avg,R2 W2 Avg,R2 R1,R3 W1 Avg,R3 W2 Avg,R3 R1,R4 W1 Avg,R4 W2 Avg,R4 R1,R5 W1 Avg,R5 W2 Avg,R5 R1,R6 W1 Avg,R6 W2 Avg,R6 R1,R7 W1 Avg,R7 W2 Avg,R7 R1,R8 W1 Avg,R8 W2 Avg,R8 R1,R9 W1 Avg,R9 W2 Avg,R9 R1,R10 W1 Avg,R10 W2 Avg,R10 R1,R11 W1 Avg,R11 W2 Avg,R11 R1,R12 W1 Avg,R12 W2 Avg,R12 R1,R13 W1 Avg,R13 W2 Avg,R13 R1,R14 W1 Avg,R14 W2 Avg,R14 R1,R15 W1 Avg,R15 W2 Avg,R15 R1,R16 W1 Avg,R16 W2 Avg,R16 R1,R17 W1 Avg,R17 W2 Avg,R17 R1,R18 W1 Avg,R18 W2 Avg,R18 R1,R19 W1 Avg,R19 W2 Avg,R19 R1,R20 W1 Avg,R20 W2 Avg,R20 R1,R21 W1 Avg,R21 W2 Avg,R21 R1,R22 W1 Avg,R22 W2 Avg,R22 R1,R23 W1 Avg,R23 W2 Avg,R23 R1,R24 W1 Avg,R24 W2 Avg,R24 R1,R25 W1 Avg,R25 W2 Avg,R25 R1,R26 W1 Avg,R26 W2 Avg,R26 R1,R27 W1 Avg,R27 W2 Avg,R27 R1,R28 W1 Avg,R28 W2 Avg,R28 R1,R29 W1 Avg,R29 W2 Avg,R29 R1,R30 W1 Avg,R30 W2 Avg,R30 R1,R31 W1 Avg,R31 W2 Avg,R31 R1,R32 W1 Avg,R32 W2 Avg,R32 R1,R33 W1 Avg,R33 W2 Avg,R33 R1,R34 W1 Avg,R34 W2 Avg,R34 R1,R35 W1 Avg,R35 W2 Avg,R35 R1,R36 W1 Avg,R36 W2 Avg,R36 R1,R37 W1 Avg,R37 W2 Avg,R37 R1,R38 W1 Avg,R38 W2 Avg,R38 R1
52.44,0,0,0,33.023157,262.246506,0.127636,33.720804,245.705527,0.141519,30.859033,237.736681,0.132971,46.930693,322.050555,0.156134,42.575964,298.548407,0.147418,40.255364,278.62703,0.168541,66.263533,450.83807,0.151606,62.365616,451.224569,0.142362,33.996638,232.137405,0.152246,45.661824,285.963569,0.222994,51.177085,324.444063,0.161276,48.39735,340.575637,0.163948,49.822485,323.120603,0.162632,46.495621,359.760235,0.132991,39.211691,257.860837,0.16065,43.431959,294.717018,0.16205,31.416438,205.196274,0.192834,52.099505,328.656303,0.162613,42.960927,278.043986,0.160405,48.29895,324.759622,0.152149,66.99431,437.831831,0.155075,39.05632,243.549089,0.203364,50.471925,416.286454,0.126898,32.594713,230.967437,0.146271,27.874917,200.676327,0.151946,47.726689,316.635682,0.183533,44.241413,291.116661,0.156718,40.028451,275.917608,0.148884,25.97662,173.974186,0.167635,29.572899,206.455486,0.149296,34.946878,269.459691,0.135517,42.70277,323.372119,0.135622,36.740624,272.748674,0.138813,35.103467,261.589657,0.138595,31.921729,224.902701,0.151651,25.346661,216.38361,0.123296,37.024235,236.24606,0.161323
54.44,0,0,0,32.033913,262.861537,0.123748,32.600742,245.902753,0.136184,29.6996,237.274132,0.128103,45.659772,321.746803,0.150305,41.316344,298.624182,0.142782,39.268328,278.235212,0.161265,65.049272,449.817689,0.14854,60.958287,449.287398,0.138996,32.781793,231.926618,0.146531,44.517429,285.952496,0.206767,49.915419,324.473811,0.156915,47.128397,340.821108,0.156658,48.515593,323.241815,0.157899,45.371341,359.648226,0.129377,38.089946,257.94216,0.155174,42.38375,295.05416,0.155113,30.37985,205.586426,0.183143,50.929612,328.5238,0.158593,41.862643,278.102267,0.155768,47.04329,324.668573,0.148043,65.627119,437.20363,0.151835,37.807323,243.634112,0.189754,49.285752,415.290533,0.123118,31.442628,231.242121,0.140553,26.662384,200.874506,0.144604,46.70854,316.69972,0.174806,42.927331,291.162526,0.151326,38.841533,275.736627,0.144096,24.899713,174.708853,0.159226,28.555091,206.53905,0.143769,33.799189,269.424717,0.130739,41.480711,323.346087,0.131538,35.613976,272.700864,0.134151,34.03088,261.679253,0.133775,30.922925,225.095887,0.145694,24.213205,216.247735,0.117844,35.835881,236.167262,0.154687
56.44,0,0,0,31.692656,261.79467,0.122861,32.509307,245.141612,0.136356,29.668,237.11149,0.128039,45.662309,320.732744,0.151502,41.214456,297.860604,0.142781,39.080949,277.363547,0.161571,64.804621,448.769189,0.148314,60.807107,448.087001,0.139253,32.733222,230.714554,0.147082,44.381627,285.022346,0.212738,49.805999,324.276373,0.156604,46.993777,340.064493,0.156079,48.436642,322.552269,0.157843,45.306032,358.840419,0.129696,37.941139,257.543651,0.154836,42.13474,294.556962,0.155885,30.285716,205.238604,0.18213,50.860587,328.277221,0.158513,41.780428,277.815369,0.155646,46.779315,323.853228,0.147541,65.49994,436.083063,0.152018,37.714811,243.118859,0.193989,48.868881,413.493508,0.12282,31.373989,230.694971,0.140523,26.690227,200.472576,0.145369,46.482076,315.951322,0.174242,42.887657,290.346241,0.151628,38.782081,275.236664,0.144238,24.783871,174.152577,0.159438,28.405934,206.080944,0.143248,33.775605,268.91803,0.130936,41.347697,322.69515,0.131309,35.465203,272.100849,0.134008,33.873644,261.056289,0.133468,30.906554,224.527986,0.146285,24.134688,215.572842,0.117983,35.780174,235.353759,0.155697
58.44,0,0,0,31.749178,260.705193,0.123539,32.44791,244.188912,0.136844,29.570434,236.609836,0.128088,45.458458,319.671856,0.15075,41.129066,296.348383,0.143274,38.919069,276.165099,0.161608,64.66645,446.92697,0.148874,60.65756,446.995762,0.139235,32.5305,229.251228,0.147259,44.292887,283.976636,0.215227,49.747662,322.992747,0.157426,46.901915,338.551601,0.157426,48.42292,321.563469,0.158359,45.086497,357.859347,0.129398,37.783511,256.621148,0.154787,42.139587,293.663875,0.156954,30.219772,204.374062,0.182898,50.664336,326.985858,0.158608,41.633628,276.617473,0.15574,46.696854,322.905086,0.147621,65.297191,434.374444,0.152105,37.590488,242.205814,0.190136,48.751097,410.354711,0.123375,31.320935,229.820498,0.141006,26.550251,199.556319,0.145419,46.337959,314.877824,0.173084,42.63038,289.425446,0.151306,38.597497,274.405846,0.144082,24.784149,173.2043,0.160233,28.342974,205.351048,0.14366,33.729975,267.788389,0.131292,41.237813,321.775477,0.131407,35.419931,271.12159,0.134368,33.863745,260.434446,0.133772,30.716855,223.752204,0.146209,24.106888,215.020366,0.117854,35.594963,234.515117,0.155184
60.44,0,0,0,32.515895,259.896136,0.126985,33.326409,243.413499,0.14123,30.527329,235.621686,0.132581,46.169893,318.614091,0.156593,41.949701,295.780531,0.146587,39.709409,275.429351,0.169396,65.282582,445.931633,0.151034,61.198243,445.648493,0.141339,33.335278,228.077649,0.152436,45.114076,282.898215,0.221307,50.51483,321.757593,0.160612,47.720722,337.282754,0.162659,49.108572,320.865966,0.161329,45.953767,357.030315,0.132662,38.592905,255.873691,0.15933,42.880299,292.702737,0.161936,31.019499,203.789962,0.193319,51.342634,326.285385,0.161465,42.455846,275.97032,0.159813,47.386876,321.799399,0.150624,65.981769,433.088232,0.154461,38.433652,241.561822,0.201101,49.480655,410.230742,0.126611,32.195346,228.6639,0.145819,27.397016,198.868677,0.150984,47.138668,314.423415,0.182928,43.564506,288.669853,0.155181,39.468528,273.443756,0.148079,25.689413,172.365076,0.167798,29.233985,204.763113,0.148668,34.619417,266.858638,0.135457,42.015546,320.508096,0.134654,36.252993,270.182357,0.138111,34.665799,259.586597,0.137877,31.559317,222.704385,0.151423,25.018035,214.615026,0.122847,36.416512,233.661096,0.160283
62.44,0,0,0,31.483763,260.430597,0.12266,32.0782,243.457001,0.135575,29.081223,235.865353,0.126469,45.130879,318.427541,0.150505,40.782734,295.510961,0.142534,38.50751,274.789178,0.160378,64.152738,445.323647,0.147907,60.024408,444.602732,0.138217,32.216833,227.811502,0.14677,43.958254,282.565908,0.210691,49.463523,321.849829,0.156761,46.590846,337.082234,0.156088,48.077939,320.316358,0.157888,44.841659,356.749008,0.128982,37.529689,255.962014,0.153949,41.760749,292.658704,0.155853,30.021549,203.729798,0.181223,50.188999,325.85474,0.157593,41.315176,275.939821,0.154881,46.324557,321.285405,0.147328,64.688705,432.957447,0.151177,37.411702,241.54322,0.191258,48.269082,409.022943,0.122429,31.080939,228.681556,0.140499,26.367128,199.079523,0.144089,46.042052,313.955666,0.173554,42.368554,288.607664,0.150595,38.372318,273.16071,0.143749,24.642782,172.812365,0.158946,28.226052,204.737911,0.143671,33.499238,266.945612,0.130514,40.968603,320.150121,0.131073,35.253523,269.948193,0.134078,33.607871,259.755015,0.13305,30.493334,222.873495,0.145339,23.873845,214.430501,0.117254,35.357425,233.618769,0.154974
64.44,0,0,0,31.243354,258.633735,0.122317,32.125385,242.760624,0.136322,29.201699,235.289093,0.127146,44.952386,316.992487,0.15051,40.718003,294.720358,0.142512,38.339425,273.44362,0.159512,63.858648,443.671901,0.147933,59.909117,442.603821,0.138798,32.164738,226.589675,0.147632,43.789897,281.641471,0.212817,49.364302,320.77634,0.156919,46.472167,335.385529,0.1577,47.943032,319.199928,0.158036,44.698906,355.65438,0.129073,37.395963,255.155561,0.154108,41.652061,291.593768,0.155703,29.885162,203.128449,0.181239,50.017091,324.867006,0.157546,41.184433,274.991004,0.154986,46.091986,319.919197,0.147158,64.521497,431.625476,0.151202,37.343864,240.582889,0.191178,48.062335,407.759475,0.122701,30.977386,227.794846,0.140673,26.210084,198.441421,0.144061,45.867348,313.307604,0.170424,42.194973,287.611378,0.150127,38.223519,272.06331,0.143821,24.526993,171.844648,0.159931,28.090585,203.83644,0.143483,33.360177,266.193606,0.130581,40.774039,319.032019,0.131103,35.090999,268.808437,0.13419,33.412259,258.82703,0.132932,30.236455,221.935876,0.144538,23.777206,213.990367,0.117122,35.226587,232.568919,0.155149
66.44,0,0,0,31.289874,257.726363,0.123288,31.789942,242.129183,0.135017,29.029675,234.402558,0.126975,44.696771,316.242905,0.149737,40.553709,294.200966,0.142208,38.353158,272.878657,0.161002,63.651338,443.107464,0.147814,59.767903,441.653559,0.138818,31.896748,225.93116,0.146868,43.708243,281.000332,0.210446,49.354706,320.01772,0.157258,46.321518,335.321785,0.157588,47.839381,318.59873,0.157758,44.543992,354.8351,0.128974,37.244855,254.817327,0.153578,41.559732,291.149713,0.155337,29.785525,202.742964,0.180876,49.920515,324.218386,0.157605,41.052759,274.73324,0.154658,45.827055,319.218772,0.146713,64.339544,431.444244,0.151073,37.09356,240.144324,0.190411,47.587515,406.8319,0.121337,30.860191,227.335257,0.140416,26.108316,198.029084,0.144079,45.735059,312.891905,0.170444,42.076642,286.979328,0.150408,38.157166,271.547279,0.143869,24.493995,171.621761,0.159948,28.034025,203.40859,0.14331,33.133596,265.890808,0.129807,40.595057,318.54676,0.130787,34.961907,268.322985,0.133918,33.366109,258.473618,0.133001,30.103641,221.724542,0.14416,23.595672,213.644013,0.116664,34.905061,232.060372,0.153281
71.44,0,0,0,31.282543,256.815429,0.123395,31.972149,240.995799,0.136445,28.96677,232.420333,0.127651,44.74922,315.714254,0.151012,40.528461,293.81819,0.142504,38.231421,271.874508,0.159994,63.769779,441.465272,0.148538,59.855662,439.966691,0.139494,32.084567,225.113063,0.148308,43.621052,280.215463,0.207688,49.258832,319.430472,0.157439,46.188111,333.189145,0.157358,47.912871,317.135642,0.158908,44.641568,354.248044,0.129369,37.347115,253.952923,0.154553,41.456345,290.277118,0.155645,29.838372,202.03331,0.18387,49.828863,323.522246,0.157602,41.099041,273.997853,0.155335,45.944687,318.173296,0.14767,64.175742,429.966863,0.151178,37.101914,239.698289,0.190582,47.791718,405.07067,0.122535,30.901288,226.588513,0.141039,26.171731,197.193796,0.145175,45.857205,311.642671,0.174797,42.158898,286.540005,0.151019,38.292348,270.555242,0.144958,24.625156,170.173138,0.161768,28.100823,202.891046,0.144429,33.313109,265.683482,0.130602,40.887934,317.867059,0.132012,35.091188,267.892711,0.134579,33.412507,257.579155,0.133679,30.318661,221.238498,0.145407,23.745579,212.782176,0.117623,35.083369,231.292482,0.154902
76.44,0,0,0,32.056043,258.681488,0.125754,32.775009,241.587709,0.139823,29.931023,234.291512,0.13073,45.549236,317.491329,0.15562,41.295532,295.708144,0.144145,38.944943,273.56364,0.165232,64.662043,444.001726,0.150156,60.580124,442.368552,0.140801,32.689613,226.35052,0.150741,44.36783,281.597466,0.218163,50.020241,320.840902,0.159317,47.134067,333.495649,0.161889,48.721675,319.556607,0.16062,45.408743,356.75967,0.131045,38.175193,255.010025,0.157785,42.027502,291.597836,0.159632,30.457156,203.037286,0.188898,50.680133,324.604469,0.160201,41.832417,275.390381,0.157656,46.67072,320.088414,0.149192,64.7559,432.406539,0.151794,37.84609,240.974719,0.196413,48.252939,407.653799,0.123817,31.677339,227.12327,0.144486,26.843256,198.4264,0.148346,46.340807,313.048213,0.181473,42.872657,288.656839,0.152495,38.817427,271.919769,0.146442,25.262974,171.014391,0.167071,28.742298,203.311734,0.147474,34.034485,266.978256,0.132949,41.426122,319.021618,0.133257,35.851834,267.84098,0.137878,34.119123,258.043546,0.136537,30.863782,222.397347,0.148894,24.551861,211.557095,0.122396,35.869304,232.839737,0.158375
